District_code,State_name,District_name,Population
1,jammu and kashmir,Kupwara,870354
2,jammu and kashmir,Badgam,753745
3,jammu and kashmir,Leh(Ladakh),133487
4,jammu and kashmir,Kargil,140802
5,jammu and kashmir,Punch,476835
6,jammu and kashmir,Rajouri,642415
7,jammu and kashmir,Kathua,616435
8,jammu and kashmir,Baramula,1008039
9,jammu and kashmir,Bandipore,392232
10,jammu and kashmir,Srinagar,1236829
11,jammu and kashmir,Ganderbal,297446
12,jammu and kashmir,Pulwama,560440
13,jammu and kashmir,Shupiyan,266215
14,jammu and kashmir,Anantnag,1078692
15,jammu and kashmir,Kulgam,424483
16,jammu and kashmir,Doda,409936
17,jammu and kashmir,Ramban,283713
18,jammu and kashmir,Kishtwar,230696
19,jammu and kashmir,Udhampur,554985
20,jammu and kashmir,Reasi,314667
21,jammu and kashmir,Jammu,1529958
22,jammu and kashmir,Samba,318898
23,himachal pradesh,Chamba,519080
24,himachal pradesh,Kangra,1510075
25,himachal pradesh,Lahul AND Spiti,31564
26,himachal pradesh,Kullu,437903
27,himachal pradesh,Mandi,999777
28,himachal pradesh,Hamirpur,454768
29,himachal pradesh,Una,521173
30,himachal pradesh,Bilaspur,381956
31,himachal pradesh,Solan,580320
32,himachal pradesh,Sirmaur,529855
33,himachal pradesh,Shimla,814010
34,himachal pradesh,Kinnaur,84121
35,punjab,Gurdaspur,2298323
36,punjab,Kapurthala,815168
37,punjab,Jalandhar,2193590
38,punjab,Hoshiarpur,1586625
39,punjab,Shahid Bhagat Singh Nagar,612310
40,punjab,Fatehgarh Sahib,600163
41,punjab,Ludhiana,3498739
42,punjab,Moga,995746
43,punjab,Firozpur,2029074
44,punjab,Muktsar,901896
45,punjab,Faridkot,617508
46,punjab,Bathinda,1388525
47,punjab,Mansa,769751
48,punjab,Patiala,1895686
49,punjab,Amritsar,2490656
50,punjab,Tarn Taran,1119627
51,punjab,Rupnagar,684627
52,punjab,Sahibzada Ajit Singh Nagar,994628
53,punjab,Sangrur,1655169
54,punjab,Barnala,595527
55,chandigarh,Chandigarh,1055450
56,uttarakhand,Uttarkashi,330086
57,uttarakhand,Chamoli,391605
58,uttarakhand,Rudraprayag,242285
59,uttarakhand,Tehri Garhwal,618931
60,uttarakhand,Dehradun,1696694
61,uttarakhand,Garhwal,687271
62,uttarakhand,Pithoragarh,483439
63,uttarakhand,Bageshwar,259898
64,uttarakhand,Almora,622506
65,uttarakhand,Champawat,259648
66,uttarakhand,Nainital,954605
67,uttarakhand,Udham Singh Nagar,1648902
68,uttarakhand,Hardwar,1890422
69,haryana,Panchkula,561293
70,haryana,Ambala,1128350
71,haryana,Yamunanagar,1214205
72,haryana,Kurukshetra,964655
73,haryana,Kaithal,1074304
74,haryana,Karnal,1505324
75,haryana,Panipat,1205437
76,haryana,Sonipat,1450001
77,haryana,Jind,1334152
78,haryana,Fatehabad,942011
79,haryana,Sirsa,1295189
80,haryana,Hisar,1743931
81,haryana,Bhiwani,1634445
82,haryana,Rohtak,1061204
83,haryana,Jhajjar,958405
84,haryana,Mahendragarh,922088
85,haryana,Rewari,900332
86,haryana,Gurgaon,1514432
87,haryana,Mewat,1089263
88,haryana,Faridabad,1809733
89,haryana,Palwal,1042708
90,delhi,North West,3656539
91,delhi,North,887978
92,delhi,North East,2241624
93,delhi,East,1709346
94,delhi,New Delhi,142004
95,delhi,Central,582320
96,delhi,West,2543243
97,delhi,South West,2292958
98,delhi,South,2731929
99,rajasthan,Ganganagar,1969168
100,rajasthan,Hanumangarh,1774692
101,rajasthan,Bikaner,2363937
102,rajasthan,Churu,2039547
103,rajasthan,Jhunjhunun,2137045
104,rajasthan,Alwar,3674179
105,rajasthan,Bharatpur,2548462
106,rajasthan,Dhaulpur,1206516
107,rajasthan,Karauli,1458248
108,rajasthan,Sawai Madhopur,1335551
109,rajasthan,Dausa,1634409
110,rajasthan,Jaipur,6626178
111,rajasthan,Sikar,2677333
112,rajasthan,Nagaur,3307743
113,rajasthan,Jodhpur,3687165
114,rajasthan,Jaisalmer,669919
115,rajasthan,Barmer,2603751
116,rajasthan,Jalor,1828730
117,rajasthan,Sirohi,1036346
118,rajasthan,Pali,2037573
119,rajasthan,Ajmer,2583052
120,rajasthan,Tonk,1421326
121,rajasthan,Bundi,1110906
122,rajasthan,Bhilwara,2408523
123,rajasthan,Rajsamand,1156597
124,rajasthan,Dungarpur,1388552
125,rajasthan,Banswara,1797485
126,rajasthan,Chittaurgarh,1544338
127,rajasthan,Kota,1951014
128,rajasthan,Baran,1222755
129,rajasthan,Jhalawar,1411129
130,rajasthan,Udaipur,3068420
131,rajasthan,Pratapgarh,867848
132,uttar pradesh,Saharanpur,3466382
133,uttar pradesh,Muzaffarnagar,4143512
134,uttar pradesh,Bijnor,3682713
135,uttar pradesh,Moradabad,4772006
136,uttar pradesh,Rampur,2335819
137,uttar pradesh,Jyotiba Phule Nagar,1840221
138,uttar pradesh,Meerut,3443689
139,uttar pradesh,Baghpat,1303048
140,uttar pradesh,Ghaziabad,4681645
141,uttar pradesh,Gautam Buddha Nagar,1648115
142,uttar pradesh,Bulandshahr,3499171
143,uttar pradesh,Aligarh,3673889
144,uttar pradesh,Mahamaya Nagar,1564708
145,uttar pradesh,Mathura,2547184
146,uttar pradesh,Agra,4418797
147,uttar pradesh,Firozabad,2498156
148,uttar pradesh,Mainpuri,1868529
149,uttar pradesh,Budaun,3681896
150,uttar pradesh,Bareilly,4448359
151,uttar pradesh,Pilibhit,2031007
152,uttar pradesh,Shahjahanpur,3006538
153,uttar pradesh,Kheri,4021243
154,uttar pradesh,Sitapur,4483992
155,uttar pradesh,Hardoi,4092845
156,uttar pradesh,Unnao,3108367
157,uttar pradesh,Lucknow,4589838
158,uttar pradesh,Rae Bareli,3405559
159,uttar pradesh,Farrukhabad,1885204
160,uttar pradesh,Kannauj,1656616
161,uttar pradesh,Etawah,1581810
162,uttar pradesh,Auraiya,1379545
163,uttar pradesh,Kanpur Dehat,1796184
164,uttar pradesh,Kanpur Nagar,4581268
165,uttar pradesh,Jalaun,1689974
166,uttar pradesh,Jhansi,1998603
167,uttar pradesh,Lalitpur,1221592
168,uttar pradesh,Hamirpur,1104285
169,uttar pradesh,Mahoba,875958
170,uttar pradesh,Banda,1799410
171,uttar pradesh,Chitrakoot,991730
172,uttar pradesh,Fatehpur,2632733
173,uttar pradesh,Pratapgarh,3209141
174,uttar pradesh,Kaushambi,1599596
175,uttar pradesh,Allahabad,5954391
176,uttar pradesh,Bara Banki,3260699
177,uttar pradesh,Faizabad,2470996
178,uttar pradesh,Ambedkar Nagar,2397888
179,uttar pradesh,Sultanpur,3797117
180,uttar pradesh,Bahraich,3487731
181,uttar pradesh,Shrawasti,1117361
182,uttar pradesh,Balrampur,2148665
183,uttar pradesh,Gonda,3433919
184,uttar pradesh,Siddharthnagar,2559297
185,uttar pradesh,Basti,2464464
186,uttar pradesh,Sant Kabir Nagar,1715183
187,uttar pradesh,Mahrajganj,2684703
